activeCarHere,capacity,carsList,distance,id,inactive,latitude,longitude,modelsList,parkingAddress,showMarker,timestamp,total_cars,typeId
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:02:11.164026 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:04:16.055890 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:06:21.009474 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:08:26.041227 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:10:31.177650 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:12:36.157513 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:14:41.061956 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:16:45.883965 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:18:50.855779 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:20:55.647299 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:23:00.480207 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:25:05.454347 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:27:10.241409 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 11:29:15.202739 UTC,0,0.0
